Alpha_deg,CL,CD,Cm
-5,-0.120059802362,0.009602492403,-0.004949347295
-4,-0.044548359972,0.009056944628,-0.01866290036
-3,0.031044921877,0.009025872917,-0.032644247027
-2,0.106670658951,0.009507618364,-0.04688919611
-1,0.182289054631,0.010504168417,-0.061376586165
0,0.257871163073,0.012011685175,-0.076100163115
1,0.333400039072,0.014034303436,-0.091049260902
2,0.408806267476,0.016567418502,-0.106199875471
3,0.484069586295,0.019606791008,-0.121549068096
4,0.559169851902,0.023144998323,-0.137083275926
5,0.634053047417,0.027177037065,-0.152787156598
6,0.70864704647,0.031723420931,-0.168620768622
7,0.782972951833,0.036757320021,-0.184591778744
8,0.856973452594,0.042241727556,-0.200692813439
9,0.930600806259,0.048206165578,-0.216901830948
10,1.003820143106,0.054618985685,-0.233189268581
11,1.076611022902,0.061487564671,-0.249566386774
12,1.149021254503,0.068764278947,-0.266032119321
13,1.220811539524,0.07644429556,-0.282499249208
14,1.292110413119,0.084583619089,-0.298996060566
